2026-07-26 10:02:40 | INFO  | ui_auto | ===== Playwright 引擎已启动 =====
2026-07-26 10:02:44 | INFO  | ui_auto | 已设置 localStorage: debug_micro_apps=web-erp
2026-07-26 10:02:44 | INFO  | ui_auto | ========== test_account_list_loads 开始 ==========
2026-07-26 10:02:44 | INFO  | ui_auto | ===== 开始登录流程 =====
2026-07-26 10:02:44 | INFO  | ui_auto | 访问登录页面: http://erp-dev.guanggujinxin.com
2026-07-26 10:02:44 | INFO  | ui_auto | 等待网络空闲...
2026-07-26 10:02:45 | INFO  | ui_auto | 输入用户名: 15926689137
2026-07-26 10:02:45 | INFO  | ui_auto | 等待元素可见: input[placeholder*='手机']
2026-07-26 10:02:45 | INFO  | ui_auto | 输入文本成功: input[placeholder*='手机']
2026-07-26 10:02:45 | INFO  | ui_auto | 输入密码: ******
2026-07-26 10:02:45 | INFO  | ui_auto | 等待元素可见: input[type='password']
2026-07-26 10:02:45 | INFO  | ui_auto | 输入文本成功: input[type='password']
2026-07-26 10:02:45 | INFO  | ui_auto | 点击登录按钮
2026-07-26 10:02:45 | INFO  | ui_auto | 等待元素可点击: button:has-text('登 录')
2026-07-26 10:02:45 | INFO  | ui_auto | 点击元素成功: button:has-text('登 录')
2026-07-26 10:02:45 | INFO  | ui_auto | 等待网络空闲...
2026-07-26 10:02:45 | INFO  | ui_auto | 等待企业选择弹窗...
2026-07-26 10:02:45 | INFO  | ui_auto | 等待元素可见: .ant-modal-body
2026-07-26 10:02:46 | INFO  | ui_auto | 选择第一个企业
2026-07-26 10:02:46 | INFO  | ui_auto | 等待元素可点击: .ant-modal-body [style*='cursor: pointer']
2026-07-26 10:02:46 | INFO  | ui_auto | 点击元素成功: .ant-modal-body [style*='cursor: pointer']
2026-07-26 10:02:46 | INFO  | ui_auto | 等待网络空闲...
2026-07-26 10:02:46 | INFO  | ui_auto | 等待元素隐藏: .ant-modal-body
2026-07-26 10:02:47 | INFO  | ui_auto | 企业选择完成，弹窗已关闭
2026-07-26 10:02:47 | INFO  | ui_auto | ===== 登录流程完成 =====
2026-07-26 10:02:47 | INFO  | ui_auto | 通过菜单导航 → 基础配置 → 账户管理
2026-07-26 10:02:48 | INFO  | ui_auto | 等待元素可点击: aside.ant-layout-sider li.ant-menu-item:has-text('账户管理')
2026-07-26 10:02:48 | INFO  | ui_auto | 点击元素成功: aside.ant-layout-sider li.ant-menu-item:has-text('账户管理')
2026-07-26 10:02:48 | INFO  | ui_auto | 等待网络空闲...
2026-07-26 10:02:50 | INFO  | ui_auto | 当前 URL: http://erp-dev.guanggujinxin.com/#/micro/erp/basic/account-management
2026-07-26 10:02:50 | INFO  | ui_auto | ========== test_account_list_loads 通过 ==========
2026-07-26 10:02:50 | INFO  | ui_auto | ===== 用例上下文已关闭 =====
2026-07-26 10:02:52 | INFO  | ui_auto | 已设置 localStorage: debug_micro_apps=web-erp
2026-07-26 10:02:52 | INFO  | ui_auto | ========== test_account_switch_tab 开始 ==========
2026-07-26 10:02:52 | INFO  | ui_auto | ===== 开始登录流程 =====
2026-07-26 10:02:52 | INFO  | ui_auto | 访问登录页面: http://erp-dev.guanggujinxin.com
2026-07-26 10:02:52 | INFO  | ui_auto | 等待网络空闲...
2026-07-26 10:02:53 | INFO  | ui_auto | 输入用户名: 15926689137
2026-07-26 10:02:53 | INFO  | ui_auto | 等待元素可见: input[placeholder*='手机']
2026-07-26 10:02:53 | INFO  | ui_auto | 输入文本成功: input[placeholder*='手机']
2026-07-26 10:02:53 | INFO  | ui_auto | 输入密码: ******
2026-07-26 10:02:53 | INFO  | ui_auto | 等待元素可见: input[type='password']
2026-07-26 10:02:53 | INFO  | ui_auto | 输入文本成功: input[type='password']
2026-07-26 10:02:53 | INFO  | ui_auto | 点击登录按钮
2026-07-26 10:02:53 | INFO  | ui_auto | 等待元素可点击: button:has-text('登 录')
2026-07-26 10:02:53 | INFO  | ui_auto | 点击元素成功: button:has-text('登 录')
2026-07-26 10:02:53 | INFO  | ui_auto | 等待网络空闲...
2026-07-26 10:02:53 | INFO  | ui_auto | 等待企业选择弹窗...
2026-07-26 10:02:53 | INFO  | ui_auto | 等待元素可见: .ant-modal-body
2026-07-26 10:02:54 | INFO  | ui_auto | 选择第一个企业
2026-07-26 10:02:54 | INFO  | ui_auto | 等待元素可点击: .ant-modal-body [style*='cursor: pointer']
2026-07-26 10:02:54 | INFO  | ui_auto | 点击元素成功: .ant-modal-body [style*='cursor: pointer']
2026-07-26 10:02:54 | INFO  | ui_auto | 等待网络空闲...
